"Album";"Location";"AlbumCoverImagePath";"TotalLyrics";"Downloads";"PDFLocation";"PDFDownloads"
"132 Sala Jashan e Melo";"./Lyrics/132 Sala Jashan e Melo";"./Lyrics/132 Sala Jashan e Melo/Aahyun Tuhinja Sain Tuhinjo Dar Na Chhadbo.jpg";"9";"178";;"0"
"132 Sala Jashan e Melo-II";"./Lyrics/132 Sala Jashan e Melo-II";"./Lyrics/132 Sala Jashan e Melo-II/Dulho Sain Aahe Darwesh Sain.jpg";"6";"87";;"0"
"150 Saal Sache Sain De Naal";"./Lyrics/150 Saal Sache Sain De Naal";"./Lyrics/150 Saal Sache Sain De Naal/Agar Ishwar Se Milna Hai Pyare.jpg";"8";"105";;"0"
"150 Saal Sache Sain De Naal-II";"./Lyrics/150 Saal Sache Sain De Naal-II";"./Lyrics/150 Saal Sache Sain De Naal-II/150 Sala Melo Sain Jo Aayo Aa.jpg";"8";"77";;"0"
"Aarti Sahib";"./Lyrics/Aarti Sahib";"./Lyrics/Aarti Sahib/Aarti Sahib 01.jpg";"2";"101";"./Lyrics/Aarti Sahib/Aarti Sahib.pdf";"173"
"Aarti Sahib (Hindi)";"./Lyrics/Aarti Sahib (Hindi)";"./Lyrics/Aarti Sahib (Hindi)/Aarti Sahib (Hindi) 01.jpg";"2";"15";"./Lyrics/Aarti Sahib (Hindi)/Aarti Sahib (Hindi).pdf";"48"
"Akhand Dhuni Sahib";"./Lyrics/Akhand Dhuni Sahib";"./Lyrics/Akhand Dhuni Sahib/Dhuni Sahib 00.jpg";"18";"69";"./Lyrics/Akhand Dhuni Sahib/Akhand Dhuni Sahib.pdf";"127"
"Akhand Dhuni Sahib (Hindi)";"./Lyrics/Akhand Dhuni Sahib (Hindi)";"./Lyrics/Akhand Dhuni Sahib (Hindi)/Dhuni Sahib (Hindi) 00.jpg";"18";"31";"./Lyrics/Akhand Dhuni Sahib (Hindi)/Akhand Dhuni Sahib (Hindi).pdf";"63"
"Ardas Sahib";"./Lyrics/Ardas Sahib";"./Lyrics/Ardas Sahib/Ardas Sahib 01.jpg";"6";"55";"./Lyrics/Ardas Sahib/Ardas Sahib.pdf";"245"
"Ardas Sahib (Hindi)";"./Lyrics/Ardas Sahib (Hindi)";"./Lyrics/Ardas Sahib (Hindi)/Ardas Sahib (Hindi) 01.jpg";"6";"12";"./Lyrics/Ardas Sahib (Hindi)/Ardas Sahib (Hindi).pdf";"45"
"Asan Jiyara Jesin Rahandase Tuhinji Raharki Kon Chhadindase";"./Lyrics/Asan Jiyara Jesin Rahandase Tuhinji Raharki Kon Chhadindase";"./Lyrics/Asan Jiyara Jesin Rahandase Tuhinji Raharki Kon Chhadindase/Asan Jiyara Jesin Rahandase Tuhinji Raharki Kon Chhadindase.jpg";"5";"41";;"0"
"Avhan Ja Premi Hazaren Aahen";"./Lyrics/Avhan Ja Premi Hazaren Aahen";"./Lyrics/Avhan Ja Premi Hazaren Aahen/Avhan Ja Premi Hazaren Aahen.jpg";"1";"97";;"0"
"Bhagwan Rahta Raharki Me";"./Lyrics/Bhagwan Rahta Raharki Me";"./Lyrics/Bhagwan Rahta Raharki Me/Bhagwan Rahata Raharki Me.jpg";"9";"64";;"0"
"Bhajans 2016-I";"./Lyrics/Bhajans 2016-I";"./Lyrics/Bhajans 2016-I/Dhan Dhan Baba Khotaram.jpg";"13";"51";;"0"
"Bhajans 2016-II";"./Lyrics/Bhajans 2016-II";"./Lyrics/Bhajans 2016-II/Aao Raharki Sahib Ki Shaan Suno.jpg";"11";"50";;"0"
"Bhajans 2017-I";"./Lyrics/Bhajans 2017-I";"./Lyrics/Bhajans 2017-I/Aayi Warsi Sahib Achi Shewa Karo Sab Pyara.jpg";"7";"51";;"0"
"Bhajans 2017-II";"./Lyrics/Bhajans 2017-II";"./Lyrics/Bhajans 2017-II/Bhagat Kanwarram Kurb Me.jpg";"4";"43";;"0"
"Bhajans 2017-III";"./Lyrics/Bhajans 2017-III";"./Lyrics/Bhajans 2017-III/Dard Dilo Ke Kam Ho Jate Sain Mere Jab India Hai Aate.jpg";"10";"58";;"0"
"Bhar Do Jholi Meri Raharki Wale";"./Lyrics/Bhar Do Jholi Meri Raharki Wale";"./Lyrics/Bhar Do Jholi Meri Raharki Wale/Lal Sakhi Lajpal Sakhi.jpg";"1";"80";;"0"
"Chalo Re Chalo Raharki Chalo Re Chalo";"./Lyrics/Chalo Re Chalo Raharki Chalo Re Chalo";"./Lyrics/Chalo Re Chalo Raharki Chalo Re Chalo/Chalo Re Chalo Raharki Chalo Re Chalo.jpg";"1";"48";;"0"
"Dham Ditha Munh Khod Hin Dil Thare Chhadi Aa";"./Lyrics/Dham Ditha Munh Khod Hin Dil Thare Chhadi Aa";"./Lyrics/Dham Ditha Munh Khod Hin Dil Thare Chhadi Aa/Dham Ditha Munh Khod Hin Dil Thare Chhadi Aa.jpg";"1";"46";;"0"
"Dhuni Satram Ji Padho Aa Warsi Nane Sain ji Aayi";"./Lyrics/Dhuni Satram Ji Padho Aa Warsi Nane Sain ji Aayi";"./Lyrics/Dhuni Satram Ji Padho Aa Warsi Nane Sain ji Aayi/Dhuni Satram Ji Padho Aa Warsi Nane Sain ji Aayi.jpg";"8";"29";;"0"
"Dulho Sabhin Ja Thahindo Naseeb Aa";"./Lyrics/Dulho Sabhin Ja Thahindo Naseeb Aa";"./Lyrics/Dulho Sabhin Ja Thahindo Naseeb Aa/Dulho Sabhin Ja Thahindo Naseeb Aa.jpg";"8";"13";;"0"
"Guru Bina Jag Me Aa Andhkaar";"./Lyrics/Guru Bina Jag Me Aa Andhkaar";"./Lyrics/Guru Bina Jag Me Aa Andhkaar/Guru Bina Jag Me Aa Andhkaar.jpg";"5";"40";;"0"
"Hal Premi Hal Mele Te Tu Hal Suhine Sain Kanwarram Je";"./Lyrics/Hal Premi Hal Mele Te Tu Hal Suhine Sain Kanwarram Je";"./Lyrics/Hal Premi Hal Mele Te Tu Hal Suhine Sain Kanwarram Je/Bol Pyara Bol Pyara Sacho Satram Tu Bol Pyara.jpg";"8";"8";;"0"
"Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi";"./Lyrics/Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi";"./Lyrics/Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi/Duniya Ne Mari Thokar Tune Sambhal Liya.jpg";"9";"42";;"0"
"Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja";"./Lyrics/Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja";"./Lyrics/Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja/Chal Malanga Raharki Dware Chal.jpg";"3";"52";;"0"
"Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare";"./Lyrics/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare";"./Lyrics/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare.jpg";"1";"88";;"0"
"Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende";"./Lyrics/Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende";"./Lyrics/Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende/Chher Paye Raharki Me Kanwar Piyo Nachando Wadhe.jpg";"8";"55";;"0"
